# This table holds the number of events present in the initial MC samples.
# On the left is just the process name.
CellClass=TableCellVal

Process     			     |       Events_MC         |    Events_PATtuple  
WH135     				     |  0.00   	     +/- 0.00  |  0.00 	        +/- 0.00
WH140     				     |  0.00  	     +/- 0.00  |  0.00 	        +/- 0.00
WH145     				     |  0.00   	     +/- 0.00  |  0.00 	        +/- 0.00
WH150     				     |  0.00	     +/- 0.00  |  0.00 	        +/- 0.00
ggH110                       |  299969.0     +/- 0.00  |  299967.0      +/- 0.00
ggH120                       |  299970.0     +/- 0.00  |  299970.0      +/- 0.00
#ggH125                      |  299968.0    +/- 0.00   |  299967.0      +/- 0.00
#For the BIG sample
ggH125                       |  5970297.0    +/- 0.00  |  5959569.0     +/- 0.00
ggH125_part1                 |  999909.0     +/- 0.00  |  999907.0      +/- 0.00
ggH125_part2                 |  999919.0     +/- 0.00  |  999917.0      +/- 0.00
ggH125_part3                 |  999905.0     +/- 0.00  |  999904.0      +/- 0.00
ggH125_part4                 |  0.00         +/- 0.00  |  0.00          +/- 0.00
ggH125_part5                 |  0.00         +/- 0.00  |  0.00          +/- 0.00
ggH125_part6                 |  999918.0     +/- 0.00  |  999918.0      +/- 0.00
ggH125_part7                 |  971238.0     +/- 0.00  |  960517.0      +/- 0.00
ggH125_part8                 |  999408.0     +/- 0.00  |  999406.0      +/- 0.00
ggH125_part9                 |  0.00         +/- 0.00  |  0.00          +/- 0.00
ggH125_part10                |  0.00         +/- 0.00  |  0.00          +/- 0.00
ggH130                       |  299978.0     +/- 0.00  |  299978.0      +/- 0.00
ggH160     				     |  199979.0     +/- 0.00  |  199979.0      +/- 0.00
ggH170     				     |  0.00	     +/- 0.00  |  199986.0      +/- 0.00
ggH180     				     |  0.00	     +/- 0.00  |  197496.0      +/- 0.00
ggH190     				     |  0.00	     +/- 0.00  |  194504.0      +/- 0.00
ggH200     				     |  199982.0     +/- 0.00  |  199982.0      +/- 0.00
ggH250     				     |  196004.0     +/- 0.00  |  194513.0      +/- 0.00
ggH300     				     |  197284.0     +/- 0.00  |  197284.0      +/- 0.00
ggH350     				     |  199994.0     +/- 0.00  |  199800.0      +/- 0.00
ggH400     				     |  199485.0     +/- 0.00  |  199485.0      +/- 0.00
ggH450     				     |  0.00   	     +/- 0.00  |  198969.0      +/- 0.00
ggH500     				     |  198967.0     +/- 0.00  |  198470.0      +/- 0.00
ggH550     				     |  199971.0     +/- 0.00  |  199471.0      +/- 0.00
ggH600     				     |  197170.0     +/- 0.00  |  197170.0      +/- 0.00
ggH700                       |  197292.0     +/- 0.00  |  197291.0      +/- 0.00
ggH800                       |  0.00         +/- 0.00  |  198750.0      +/- 0.00
ggH900                       |  199932.0     +/- 0.00  |  198932.0      +/- 0.00
ggH1000                      |  0.00         +/- 0.00  |  198396.0      +/- 0.00
qqH125                       |  1140336.0    +/- 0.00  |  1140336.0     +/- 0.00
qqH125_JESUp                 |  1140336.0    +/- 0.00  |  1140336.0     +/- 0.00
qqH125_JESDown               |  1140336.0    +/- 0.00  |  1140336.0     +/- 0.00
qqH125_old                   |  196209.0     +/- 0.00  |  196209.0      +/- 0.00
qqH170                       |  0.00         +/- 0.00  |  197669.0      +/- 0.00
qqH180                       |  0.00         +/- 0.00  |  199768.0      +/- 0.00
qqH190                       |  0.00         +/- 0.00  |  169789.0      +/- 0.00
qqH200        	       	     |  0.00         +/- 0.00  |  197352.0      +/- 0.00
qqH250        	       	     |  0.00         +/- 0.00  |  199788.0      +/- 0.00
qqH300        	       	     |  0.00         +/- 0.00  |  196485.0      +/- 0.00
qqH350        	       	     |  0.00         +/- 0.00  |  197515.0      +/- 0.00
qqH400        	       	     |  0.00         +/- 0.00  |  190587.0      +/- 0.00
qqH450        	       	     |  0.00         +/- 0.00  |  199306.0      +/- 0.00
qqH500        	       	     |  0.00         +/- 0.00  |  199205.0      +/- 0.00
qqH550        	       	     |  0.00         +/- 0.00  |  198075.0      +/- 0.00
qqH600        	       	     |  0.00         +/- 0.00  |  198900.0      +/- 0.00
qqH700                       |  0.00         +/- 0.00  |  194837.0      +/- 0.00
qqH800                       |  0.00         +/- 0.00  |  192735.0      +/- 0.00
qqH900                       |  0.00         +/- 0.00  |  197695.0      +/- 0.00
qqH1000                      |  0.00         +/- 0.00  |  197234.0      +/- 0.00
WH_ZH_TTH_HToWW_M125         |  200408.0     +/- 0.00  |  200408.0      +/- 0.00
WH_ZH_TTH_HToWW_M125_JESUp   |  200408.0     +/- 0.00  |  200408.0      +/- 0.00
WH_ZH_TTH_HToWW_M125_JESDown |  200408.0     +/- 0.00  |  200408.0      +/- 0.00
WH_HToWW_M125 			     |	118057.10132 +/- 0.00  |  118057.10132  +/- 0.00
ZH_HToWW_M125 			     |	38839.745673 +/- 0.00  |  38839.745673  +/- 0.00
TTH_HToWW_M125			     | 	43511.153012 +/- 0.00  |  43511.153012  +/- 0.00
WH_ZH_TTH_HToZZ_M125         |  500409.0     +/- 0.00  |  500409.0      +/- 0.00
WH_ZH_TTH_HToZZ_M125_JESUp   |  500409.0     +/- 0.00  |  500409.0      +/- 0.00
WH_ZH_TTH_HToZZ_M125_JESDown |  500409.0     +/- 0.00  |  500409.0      +/- 0.00
WH_HToZZ_M125 			     |	298766.04177 +/- 0.00  |  298766.04177  +/- 0.00
ZH_HToZZ_M125 			     |	44323.993914 +/- 0.00  |  44323.993914  +/- 0.00
TTH_HToZZ_M125			     | 	157318.96431 +/- 0.00  |  157318.96431  +/- 0.00
TTH_HToBB_M125               |  1000008.0    +/- 0.00  |  1000008.0     +/- 0.00
TTH_Inclusive_M125           |  995697.0     +/- 0.00  |  995697.0      +/- 0.00
